h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.17172,1.31823,2.17172,0.557061,"{'att': 264, 'def': 14}","{'att': 266, 'def': 30}",6,8,3,1,2.0938,w,2025-01-19 14:00:00,1,0,0,3,1.614659
h,0.64378,0.870883,0.64378,0.109715,"{'att': 174, 'def': 26}","{'att': 317, 'def': 19}",9,2,0,1,0.9701,l,2025-01-25 15:00:00,0,0,1,0,0.534065
a,0.756296,4.0677,0.756296,3.30653,"{'att': 176, 'def': 28}","{'att': 319, 'def': 16}",8,7,0,7,0.041800000000000004,l,2025-02-01 12:30:00,0,0,1,0,-2.550234
h,2.06892,0.649788,2.06892,0.649788,"{'att': 461, 'def': 27}","{'att': 192, 'def': 31}",7,9,3,0,2.4382,w,2025-02-14 20:00:00,1,0,0,3,1.4191319999999998
a,5.12018,0.154147,5.12018,0.154147,"{'att': 264, 'def': 27}","{'att': 256, 'def': 26}",6,1,4,0,2.9958,w,2025-02-22 15:00:00,1,0,0,3,4.966033
h,2.57927,1.70169,1.8181,1.70169,"{'att': 244, 'def': 21}","{'att': 156, 'def': 34}",7,8,2,1,1.9919,w,2025-02-25 19:30:00,1,0,0,3,0.11641000000000012
h,1.94417,0.708227,1.183,0.708227,"{'att': 279, 'def': 31}","{'att': 288, 'def': 13}",11,1,2,1,2.4018,w,2025-03-08 15:00:00,1,0,0,3,0.474773
a,2.11119,2.02642,2.11119,1.26525,"{'att': 273, 'def': 15}","{'att': 181, 'def': 17}",8,6,2,2,1.4439,d,2025-03-15 15:00:00,0,1,0,1,0.8459400000000001
h,0.558009,1.20715,0.558009,1.20715,"{'att': 240, 'def': 32}","{'att': 250, 'def': 20}",12,4,0,3,0.7490000000000001,l,2025-04-02 19:45:00,0,0,1,0,-0.649141
a,1.27226,0.443965,1.27226,0.443965,"{'att': 187, 'def': 24}","{'att': 306, 'def': 19}",7,1,1,2,2.1576,l,2025-04-05 14:00:00,0,0,1,0,0.828295
h,3.6978,1.98444,2.17546,1.98444,"{'att': 176, 'def': 20}","{'att': 301, 'def': 17}",17,4,2,2,2.4116,d,2025-04-12 14:00:00,0,1,0,1,0.1910200000000002
a,1.24107,2.95516,1.24107,2.95516,"{'att': 230, 'def': 15}","{'att': 215, 'def': 15}",10,14,2,4,0.4121,l,2025-04-19 14:00:00,0,0,1,0,-1.71409
h,1.29433,1.24134,1.29433,1.24134,"{'att': 275, 'def': 30}","{'att': 240, 'def': 10}",10,10,3,2,1.389,w,2025-04-26 14:00:00,1,0,0,3,0.05298999999999987
h,0.687863,1.63777,0.687863,0.876604,"{'att': 248, 'def': 18}","{'att': 191, 'def': 20}",1,12,1,1,0.5700000000000001,d,2025-05-04 13:00:00,0,1,0,1,-0.18874100000000005
a,1.41254,0.73395,0.651374,0.73395,"{'att': 331, 'def': 30}","{'att': 264, 'def': 20}",5,7,2,0,2.0248999999999997,w,2025-05-10 14:00:00,1,0,0,3,-0.08257599999999998
h,2.17789,3.065,2.17789,3.065,"{'att': 309, 'def': 20}","{'att': 234, 'def': 18}",20,13,3,2,0.8144,w,2025-05-19 19:00:00,1,0,0,3,-0.8871099999999998
a,3.11624,1.85265,2.35507,1.09148,"{'att': 172, 'def': 26}","{'att': 289, 'def': 16}",12,3,4,1,2.2437,w,2025-05-25 15:00:00,1,0,0,3,1.26359
