AM_names,AM_odds,contest
Yankuba Minteh AM,14 - 17,Brighton v West Ham
Georginio Rutter AM,10 - 13,Brighton v West Ham
Kaoru Mitoma AM,10 - 13,Brighton v West Ham
Mats Wieffer AM,10 - 13,Brighton v West Ham
Brajan Gruda AM,10 - 13,Brighton v West Ham
Diego Gomez AM,8 - 11,Brighton v West Ham
Maxime De Cuyper AM,7 - 10,Brighton v West Ham
Charalampos Kostoulas AM,6 - 9,Brighton v West Ham
Stefanos Tzimas AM,5 - 8,Brighton v West Ham
Danny Welbeck AM,4 - 7,Brighton v West Ham
Jack Hinshelwood AM,3 - 6,Brighton v West Ham
Yasin Ayari AM,3 - 6,Brighton v West Ham
Ferdi Kadioglu AM,3 - 6,Brighton v West Ham
Carlos Baleba AM,3 - 6,Brighton v West Ham
Joel Veltman AM,2.5 - 5,Brighton v West Ham
Olivier Boscagli AM,2 - 4,Brighton v West Ham
Diego Coppola AM,1 - 3,Brighton v West Ham
Jan Paul van Hecke AM,1 - 3,Brighton v West Ham
Lewis Dunk AM,1 - 3,Brighton v West Ham
Jarrod Bowen AM,8 - 11,Brighton v West Ham
Mateus Fernandes AM,5 - 8,Brighton v West Ham
Lucas Paqueta AM,4 - 7,Brighton v West Ham
Crysencio Summerville AM,4 - 7,Brighton v West Ham
El Hadji Malick Diouf AM,5 - 8,Brighton v West Ham
Niclas Fullkrug AM,4 - 7,Brighton v West Ham
Luis Guilherme AM,4 - 7,Brighton v West Ham
James Ward-Prowse AM,4 - 7,Brighton v West Ham
Callum Wilson AM,4 - 7,Brighton v West Ham
Kyle Walker-Peters AM,2.5 - 5,Brighton v West Ham
Tomas Soucek AM,2 - 4,Brighton v West Ham
Aaron Wan-Bissaka AM,4 - 7,Brighton v West Ham
Freddie Potts AM,2 - 4,Brighton v West Ham
Soungoutou Magassa AM,1 - 3,Brighton v West Ham
Max Kilman AM,1 - 3,Brighton v West Ham
Guido Rodriguez AM,1 - 3,Brighton v West Ham
Konstantinos Mavropanos AM,0.5 - 2,Brighton v West Ham
Jean-Clair Todibo AM,0.5 - 2,Brighton v West Ham
Boubacar Kamara AM,2.5 - 5,Aston Villa v Arsenal
Morgan Rogers AM,4 - 7,Aston Villa v Arsenal
Emiliano Buendia AM,4 - 7,Aston Villa v Arsenal
Evann Guessand AM,3 - 6,Aston Villa v Arsenal
Matty Cash AM,2.5 - 5,Aston Villa v Arsenal
Lucas Digne AM,3 - 6,Aston Villa v Arsenal
Ian Maatsen AM,2.5 - 5,Aston Villa v Arsenal
Youri Tielemans AM,3 - 6,Aston Villa v Arsenal
Ollie Watkins AM,2.5 - 5,Aston Villa v Arsenal
John McGinn AM,3 - 6,Aston Villa v Arsenal
Amadou Onana AM,1 - 3,Aston Villa v Arsenal
Ezri Konsa AM,0.1 - 1,Aston Villa v Arsenal
Bukayo Saka AM,11 - 14,Aston Villa v Arsenal
Declan Rice AM,10 - 13,Aston Villa v Arsenal
Martin Odegaard AM,8 - 11,Aston Villa v Arsenal
Eberechi Eze AM,7 - 10,Aston Villa v Arsenal
Gabriel Martinelli AM,6 - 9,Aston Villa v Arsenal
Mikel Merino AM,4 - 7,Aston Villa v Arsenal
Noni Madueke AM,6 - 9,Aston Villa v Arsenal
Riccardo Calafiori AM,1 - 3,Aston Villa v Arsenal
Viktor Gyokeres AM,5 - 8,Aston Villa v Arsenal
Martin Zubimendi AM,2.5 - 5,Aston Villa v Arsenal
Ben White AM,2.5 - 5,Aston Villa v Arsenal
Jurrien Timber AM,2 - 4,Aston Villa v Arsenal
Piero Hincapie AM,2.5 - 5,Aston Villa v Arsenal
Rayan Cherki AM,28 - 31,Man City v Sunderland
Jeremy Doku AM,20 - 23,Man City v Sunderland
Savinho AM,18 - 21,Man City v Sunderland
Phil Foden AM,17 - 20,Man City v Sunderland
Omar Marmoush AM,16 - 19,Man City v Sunderland
Bernardo Silva AM,11 - 14,Man City v Sunderland
Rayan Ait-Nouri AM,10 - 13,Man City v Sunderland
Rico Lewis AM,7 - 10,Man City v Sunderland
Tijjani Reijnders AM,7 - 10,Man City v Sunderland
Matheus Nunes AM,7 - 10,Man City v Sunderland
Nico O'Reilly AM,6 - 9,Man City v Sunderland
Erling Haaland AM,5 - 8,Man City v Sunderland
Josko Gvardiol AM,2.5 - 5,Man City v Sunderland
Nico Gonzalez AM,2 - 4,Man City v Sunderland
Nathan Ake AM,1 - 3,Man City v Sunderland
Abdukodir Khusanov AM,1 - 3,Man City v Sunderland
Ruben Dias AM,1 - 3,Man City v Sunderland
John Stones AM,0.5 - 2,Man City v Sunderland
Trai Hume AM,4 - 7,Man City v Sunderland
Enzo Le Fee AM,3 - 6,Man City v Sunderland
Bertrand Traore AM,2.5 - 5,Man City v Sunderland
Nordi Mukiele AM,2.5 - 5,Man City v Sunderland
Brian Brobbey AM,2 - 4,Man City v Sunderland
Chemsdine Talbi AM,2 - 4,Man City v Sunderland
Granit Xhaka AM,2 - 4,Man City v Sunderland
Noah Sadiki AM,1 - 3,Man City v Sunderland
Wilson Isidor AM,1 - 3,Man City v Sunderland
Lutsharel Geertruida AM,0.5 - 2,Man City v Sunderland
Omar Alderete AM,0.25 - 1.5,Man City v Sunderland
Daniel Ballard AM,0.25 - 1.5,Man City v Sunderland
Reinildo Mandava AM,0.25 - 1.5,Man City v Sunderland
Wilfried Gnonto AM,6 - 9,Leeds v Liverpool
Jack Harrison AM,6 - 9,Leeds v Liverpool
Brenden Aaronson AM,4 - 7,Leeds v Liverpool
Anton Stach AM,3 - 6,Leeds v Liverpool
Noah Okafor AM,3 - 6,Leeds v Liverpool
Gabriel Gudmondsson AM,2.5 - 5,Leeds v Liverpool
Jayden Bogle AM,2.5 - 5,Leeds v Liverpool
James Justin AM,2 - 4,Leeds v Liverpool
Joel Piroe AM,2 - 4,Leeds v Liverpool
Dominic Calvert-Lewin AM,2 - 4,Leeds v Liverpool
Lukas Nmecha AM,2 - 4,Leeds v Liverpool
Ao Tanaka AM,1 - 3,Leeds v Liverpool
Ethan Ampadu AM,0.5 - 2,Leeds v Liverpool
Jaka Bijol AM,0.25 - 1.5,Leeds v Liverpool
Pascal Struijk AM,0.1 - 1,Leeds v Liverpool
Joe Rodon AM,0.1 - 1,Leeds v Liverpool
Florian Wirtz AM,12 - 15,Leeds v Liverpool
Mohamed Salah AM,11 - 14,Leeds v Liverpool
Dominik Szoboszlai AM,10 - 13,Leeds v Liverpool
Cody Gakpo AM,9 - 12,Leeds v Liverpool
Andrew Robertson AM,7 - 10,Leeds v Liverpool
Hugo Ekitike AM,6 - 9,Leeds v Liverpool
Milos Kerkez AM,4 - 7,Leeds v Liverpool
Alexander Isak AM,5 - 8,Leeds v Liverpool
Alexis MacAllister AM,3 - 6,Leeds v Liverpool
Ryan Gravenberch AM,2 - 4,Leeds v Liverpool
Curtis Jones AM,2 - 4,Leeds v Liverpool
Wataru Endo AM,2 - 4,Leeds v Liverpool
Joe Gomez AM,1 - 3,Leeds v Liverpool
Ibrahima Konate AM,0.5 - 2,Leeds v Liverpool
Virgil van Dijk AM,0.5 - 2,Leeds v Liverpool
Yankuba Minteh AM,14 - 17,Brighton v West Ham
Georginio Rutter AM,10 - 13,Brighton v West Ham
Kaoru Mitoma AM,10 - 13,Brighton v West Ham
Mats Wieffer AM,10 - 13,Brighton v West Ham
Brajan Gruda AM,10 - 13,Brighton v West Ham
Diego Gomez AM,8 - 11,Brighton v West Ham
Maxime De Cuyper AM,7 - 10,Brighton v West Ham
Charalampos Kostoulas AM,6 - 9,Brighton v West Ham
Stefanos Tzimas AM,5 - 8,Brighton v West Ham
Danny Welbeck AM,4 - 7,Brighton v West Ham
Jack Hinshelwood AM,3 - 6,Brighton v West Ham
Yasin Ayari AM,3 - 6,Brighton v West Ham
Ferdi Kadioglu AM,3 - 6,Brighton v West Ham
Carlos Baleba AM,3 - 6,Brighton v West Ham
Joel Veltman AM,2.5 - 5,Brighton v West Ham
Olivier Boscagli AM,2 - 4,Brighton v West Ham
Diego Coppola AM,1 - 3,Brighton v West Ham
Jan Paul van Hecke AM,1 - 3,Brighton v West Ham
Lewis Dunk AM,1 - 3,Brighton v West Ham
Jarrod Bowen AM,8 - 11,Brighton v West Ham
Mateus Fernandes AM,5 - 8,Brighton v West Ham
Lucas Paqueta AM,4 - 7,Brighton v West Ham
Crysencio Summerville AM,4 - 7,Brighton v West Ham
El Hadji Malick Diouf AM,5 - 8,Brighton v West Ham
Niclas Fullkrug AM,4 - 7,Brighton v West Ham
Luis Guilherme AM,4 - 7,Brighton v West Ham
James Ward-Prowse AM,4 - 7,Brighton v West Ham
Callum Wilson AM,4 - 7,Brighton v West Ham
Kyle Walker-Peters AM,2.5 - 5,Brighton v West Ham
Tomas Soucek AM,2 - 4,Brighton v West Ham
Aaron Wan-Bissaka AM,4 - 7,Brighton v West Ham
Freddie Potts AM,2 - 4,Brighton v West Ham
Soungoutou Magassa AM,1 - 3,Brighton v West Ham
Max Kilman AM,1 - 3,Brighton v West Ham
Guido Rodriguez AM,1 - 3,Brighton v West Ham
Konstantinos Mavropanos AM,0.5 - 2,Brighton v West Ham
Jean-Clair Todibo AM,0.5 - 2,Brighton v West Ham
Alex Iwobi AM,6 - 9,Fulham v Crystal Palace
Adama Traore AM,5 - 8,Fulham v Crystal Palace
Harry Wilson AM,4 - 7,Fulham v Crystal Palace
Samuel Chukwueze AM,4 - 7,Fulham v Crystal Palace
Kevin AM,4 - 7,Fulham v Crystal Palace
Ryan Sessegnon AM,4 - 7,Fulham v Crystal Palace
Sasa Lukic AM,3 - 6,Fulham v Crystal Palace
Raul Jimenez AM,2.5 - 5,Fulham v Crystal Palace
Emile Smith Rowe AM,2.5 - 5,Fulham v Crystal Palace
Timothy Castagne AM,2.5 - 5,Fulham v Crystal Palace
Tom Cairney AM,2.5 - 5,Fulham v Crystal Palace
Joshua King AM,2 - 4,Fulham v Crystal Palace
Kenny Tete AM,1 - 3,Fulham v Crystal Palace
Sander Berge AM,1 - 3,Fulham v Crystal Palace
Joachim Andersen AM,1 - 3,Fulham v Crystal Palace
Calvin Bassey AM,0.5 - 2,Fulham v Crystal Palace
Jorge Cuenca AM,0.5 - 2,Fulham v Crystal Palace
Yeremi Pino AM,5 - 8,Fulham v Crystal Palace
Daniel Munoz AM,5 - 8,Fulham v Crystal Palace
Adam Wharton AM,4 - 7,Fulham v Crystal Palace
Chrisantus Uche AM,4 - 7,Fulham v Crystal Palace
Tyrick Mitchell AM,3 - 6,Fulham v Crystal Palace
Justin Devenny AM,3 - 6,Fulham v Crystal Palace
Daichi Kamada AM,3 - 6,Fulham v Crystal Palace
Will Hughes AM,2.5 - 5,Fulham v Crystal Palace
Romain Esse AM,2.5 - 5,Fulham v Crystal Palace
Jean-Philippe Mateta AM,2.5 - 5,Fulham v Crystal Palace
Eddie Nketiah AM,2 - 4,Fulham v Crystal Palace
Marc Guehi AM,1 - 3,Fulham v Crystal Palace
Nathaniel Clyne AM,1 - 3,Fulham v Crystal Palace
Jefferson Lerma AM,0.5 - 2,Fulham v Crystal Palace
Maxence Lacroix AM,0.5 - 2,Fulham v Crystal Palace
Chris Richards AM,0.5 - 2,Fulham v Crystal Palace
Jaydee Canvot AM,0.5 - 2,Fulham v Crystal Palace
